DateTime,MV Ratio,Price
2015-08-17T00:00:00.000Z,2.92,1.42
2015-08-18T00:00:00.000Z,3.02,1.25
2015-08-19T00:00:00.000Z,2.95,1.18
2015-08-20T00:00:00.000Z,3.47,1.38
2015-08-21T00:00:00.000Z,3.26,1.49
2015-08-22T00:00:00.000Z,3.18,1.42
2015-08-23T00:00:00.000Z,3.09,1.36
2015-08-24T00:00:00.000Z,2.83,1.3
2015-08-25T00:00:00.000Z,2.61,1.25
2015-08-26T00:00:00.000Z,2.51,1.18
2015-08-27T00:00:00.000Z,2.54,1.17
2015-08-28T00:00:00.000Z,2.66,1.22
2015-08-29T00:00:00.000Z,2.61,1.23
2015-08-30T00:00:00.000Z,2.93,1.26
2015-08-31T00:00:00.000Z,3,1.11
2015-09-01T00:00:00.000Z,2.99,1.35
2015-09-02T00:00:00.000Z,2.83,1.25
2015-09-03T00:00:00.000Z,2.79,1.23
2015-09-04T00:00:00.000Z,2.8,1.34
2015-09-05T00:00:00.000Z,2.94,1.3
2015-09-06T00:00:00.000Z,2.85,1.37
2015-09-07T00:00:00.000Z,2.74,1.31
2015-09-08T00:00:00.000Z,2.69,1.27
2015-09-09T00:00:00.000Z,2.53,1.23
2015-09-10T00:00:00.000Z,2.45,1.17
2015-09-11T00:00:00.000Z,2.05,1.06
2015-09-12T00:00:00.000Z,2.17,1.04
2015-09-13T00:00:00.000Z,1.96,1.02
2015-09-14T00:00:00.000Z,1.82,0.9236
2015-09-15T00:00:00.000Z,1.99,0.902
2015-09-16T00:00:00.000Z,1.9,0.9463
2015-09-17T00:00:00.000Z,1.86,0.88005
2015-09-18T00:00:00.000Z,1.78,0.86615
2015-09-19T00:00:00.000Z,1.86,0.84565
2015-09-20T00:00:00.000Z,1.97,0.885
2015-09-21T00:00:00.000Z,1.89,0.91855
2015-09-22T00:00:00.000Z,1.89,0.87355
2015-09-23T00:00:00.000Z,1.88,0.85795
2015-09-24T00:00:00.000Z,1.71,0.855
2015-09-25T00:00:00.000Z,1.56,0.74115
2015-09-26T00:00:00.000Z,1.63,0.7254
2015-09-27T00:00:00.000Z,1.52,0.7355
2015-09-28T00:00:00.000Z,1.23,0.65235
2015-09-29T00:00:00.000Z,1.39,0.5908
2015-09-30T00:00:00.000Z,1.55,0.6223
2015-10-01T00:00:00.000Z,1.44,0.6841
2015-10-02T00:00:00.000Z,1.42,0.6604
2015-10-03T00:00:00.000Z,1.44,0.67215
2015-10-04T00:00:00.000Z,1.41,0.6421
2015-10-05T00:00:00.000Z,1.33,0.60865
2015-10-06T00:00:00.000Z,1.37,0.6301
2015-10-07T00:00:00.000Z,1.29,0.6055
2015-10-08T00:00:00.000Z,1.32,0.62
2015-10-09T00:00:00.000Z,1.38,0.60265
2015-10-10T00:00:00.000Z,1.33,0.69255
2015-10-11T00:00:00.000Z,1.35,0.5993
2015-10-12T00:00:00.000Z,1.33,0.6345
2015-10-13T00:00:00.000Z,1.28,0.6258
2015-10-14T00:00:00.000Z,1.1,0.55085
2015-10-15T00:00:00.000Z,1.21,0.5216
2015-10-16T00:00:00.000Z,1.15,0.5436
2015-10-17T00:00:00.000Z,1.19,0.53
2015-10-18T00:00:00.000Z,1.12,0.5125
2015-10-19T00:00:00.000Z,1.06,0.49355
2015-10-20T00:00:00.000Z,0.949982,0.46025
2015-10-21T00:00:00.000Z,0.965034,0.44595
2015-10-22T00:00:00.000Z,1.25,0.51
2015-10-23T00:00:00.000Z,1.19,0.5545
2015-10-24T00:00:00.000Z,1.26,0.53305
2015-10-25T00:00:00.000Z,1.4,0.62875
2015-10-26T00:00:00.000Z,1.65,0.663
2015-10-27T00:00:00.000Z,1.89,0.8011
2015-10-28T00:00:00.000Z,2.23,0.915
2015-10-29T00:00:00.000Z,2.57,1.09
2015-10-30T00:00:00.000Z,2.27,1.23
2015-10-31T00:00:00.000Z,1.97,1
2015-11-01T00:00:00.000Z,2.3,0.9288
2015-11-02T00:00:00.000Z,2.08,1.02
2015-11-03T00:00:00.000Z,2.18,0.95125
2015-11-04T00:00:00.000Z,1.96,0.92935
2015-11-05T00:00:00.000Z,1.96,0.8995
2015-11-06T00:00:00.000Z,1.99,0.88995
2015-11-07T00:00:00.000Z,2.04,0.89735
2015-11-08T00:00:00.000Z,2.28,0.94725
2015-11-09T00:00:00.000Z,2.22,0.985
2015-11-10T00:00:00.000Z,2.09,0.95
2015-11-11T00:00:00.000Z,1.76,0.835
2015-11-12T00:00:00.000Z,2.01,0.825
2015-11-13T00:00:00.000Z,2.02,0.86975
2015-11-14T00:00:00.000Z,1.98,0.8918
2015-11-15T00:00:00.000Z,2.04,0.89695
2015-11-16T00:00:00.000Z,2.09,0.7931
2015-11-17T00:00:00.000Z,2.26,0.9612
2015-11-18T00:00:00.000Z,2.27,0.975
2015-11-19T00:00:00.000Z,2.17,0.96
2015-11-20T00:00:00.000Z,2.12,0.925
2015-11-21T00:00:00.000Z,2.22,0.94
2015-11-22T00:00:00.000Z,2.2,0.92635
2015-11-23T00:00:00.000Z,2.13,0.92
2015-11-24T00:00:00.000Z,2.03,0.93
2015-11-25T00:00:00.000Z,1.95,0.89
2015-11-26T00:00:00.000Z,1.98,0.86275
2015-11-27T00:00:00.000Z,1.95,0.885
2015-11-28T00:00:00.000Z,2.05,0.895
2015-11-29T00:00:00.000Z,1.95,0.88
2015-11-30T00:00:00.000Z,1.95,0.8737
2015-12-01T00:00:00.000Z,1.96,0.8654
2015-12-02T00:00:00.000Z,1.84,0.835
2015-12-03T00:00:00.000Z,1.85,0.81395
2015-12-04T00:00:00.000Z,1.88,0.8323
2015-12-05T00:00:00.000Z,1.93,0.8525
2015-12-06T00:00:00.000Z,1.86,0.8475
2015-12-07T00:00:00.000Z,1.79,0.80395
2015-12-08T00:00:00.000Z,1.83,0.8388
2015-12-09T00:00:00.000Z,1.77,0.80715
2015-12-10T00:00:00.000Z,1.9,0.824
2015-12-11T00:00:00.000Z,2.05,0.835
2015-12-12T00:00:00.000Z,2.17,0.9299
2015-12-13T00:00:00.000Z,2.14,0.9292
2015-12-14T00:00:00.000Z,2.23,0.9764
2015-12-15T00:00:00.000Z,2.27,0.98
2015-12-16T00:00:00.000Z,2.15,0.95
2015-12-17T00:00:00.000Z,2.04,0.88655
2015-12-18T00:00:00.000Z,1.99,0.92
2015-12-19T00:00:00.000Z,1.97,0.9064
2015-12-20T00:00:00.000Z,1.95,0.98175
2015-12-21T00:00:00.000Z,1.93,0.99
2015-12-22T00:00:00.000Z,1.89,0.93995
2015-12-23T00:00:00.000Z,1.87,0.92985
2015-12-24T00:00:00.000Z,1.85,0.86995
2015-12-25T00:00:00.000Z,1.87,0.86845
2015-12-26T00:00:00.000Z,1.83,0.925
2015-12-27T00:00:00.000Z,1.85,0.879
2015-12-28T00:00:00.000Z,1.81,0.879
2015-12-29T00:00:00.000Z,1.87,0.86665
2015-12-30T00:00:00.000Z,1.94,0.8945
