,holdings,cash,total,positions,Date
0,0.0,100000.0,100000.0,,2021-03-31
1,0.0,100000.0,100000.0,0.0,2021-04-01
2,0.0,100000.0,100000.0,0.0,2021-04-02
3,1.5775098971218156,9910.000000000015,99910.00000000001,2.0,2021-04-03
4,0.0,101632.43256057551,101632.43256057551,-2.0,2021-04-04
5,0.0,101632.43256057551,101632.43256057551,0.0,2021-04-05
6,0.0,101632.43256057551,101632.43256057551,0.0,2021-04-06
7,0.0,101632.43256057551,101632.43256057551,0.0,2021-04-07
8,0.0,101632.43256057551,101632.43256057551,0.0,2021-04-08
9,1.5731887410580612,10071.774066753045,101540.963371271,2.0,2021-04-09
10,0.0,104005.8683232098,104005.8683232098,-2.0,2021-04-10
11,0.0,104005.8683232098,104005.8683232098,0.0,2021-04-11
12,0.0,104005.8683232098,104005.8683232098,0.0,2021-04-12
13,0.0,104005.8683232098,104005.8683232098,0.0,2021-04-13
14,1.4867531808272525,10306.981550830096,103912.26304171892,2.0,2021-04-14
15,0.0,104116.37941564976,104116.37941564976,-2.0,2021-04-15
16,0.0,104116.37941564976,104116.37941564976,0.0,2021-04-16
17,0.0,104116.37941564976,104116.37941564976,0.0,2021-04-17
18,1.6688285803347993,10317.93320009089,104022.67467417568,2.0,2021-04-18
19,0.0,103067.26507181226,103067.26507181226,-2.0,2021-04-19
20,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-20
21,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-21
22,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-22
23,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-23
24,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-24
25,0.0,103067.26507181226,103067.26507181226,0.0,2021-04-25
26,1.717743535205872,10213.965968616612,102974.50453324764,2.0,2021-04-26
27,0.0,104615.92533922956,104615.92533922956,-2.0,2021-04-27
28,0.0,104615.92533922956,104615.92533922956,0.0,2021-04-28
29,1.7580866922846907,10367.438201117664,104521.77100642427,2.0,2021-04-29
30,0.0,111697.53498088944,111697.53498088944,-2.0,2021-04-30
31,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-01
32,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-02
33,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-03
34,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-04
35,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-05
36,0.0,111697.53498088944,111697.53498088944,0.0,2021-05-06
37,1.753960044888977,11069.22571660616,111597.00719940665,2.0,2021-05-07
38,1.753960044888977,11069.22571660616,114310.90957686337,0.0,2021-05-08
39,0.0,113119.1799510371,113119.1799510371,-2.0,2021-05-09
40,0.0,113119.1799510371,113119.1799510371,0.0,2021-05-10
41,0.0,113119.1799510371,113119.1799510371,0.0,2021-05-11
42,0.0,113119.1799510371,113119.1799510371,0.0,2021-05-12
43,2.049633054396429,11210.110733147783,113017.37268908118,2.0,2021-05-13
44,0.0,113264.63744879563,113264.63744879563,-2.0,2021-05-14
45,0.0,113264.63744879563,113264.63744879563,0.0,2021-05-15
46,0.0,113264.63744879563,113264.63744879563,0.0,2021-05-16
47,0.0,113264.63744879563,113264.63744879563,0.0,2021-05-17
48,0.0,113264.63744879563,113264.63744879563,0.0,2021-05-18
49,0.0,113264.63744879563,113264.63744879563,0.0,2021-05-19
