Threshold,Sharpe_Ratio
1000000,0.0866
2000000,0.0431
3000000,0.0384
4000000,0.0911
5000000,-0.0419
6000000,-0.0385
7000000,-0.0695
8000000,-0.0287
9000000,-0.0229
10000000,-0.0247
11000000,-0.1133
12000000,-0.1290
13000000,-0.1119
14000000,-0.1214
15000000,-0.1160
16000000,-0.1265
17000000,-0.1690
18000000,-0.2744
19000000,-0.2878
20000000,-0.2927
21000000,-0.2174
22000000,-0.2790
23000000,-0.3154
24000000,-0.3154
25000000,-0.3211
26000000,-0.3377
27000000,-0.3429
28000000,-0.3570
29000000,-0.3449
30000000,-0.3447
31000000,-0.3283
32000000,-0.3920
33000000,-0.3920
34000000,-0.3363
35000000,-0.3520
36000000,-0.3485
37000000,-0.3289
38000000,-0.3201
39000000,-0.3462
40000000,-0.3552
41000000,-0.3581
42000000,-0.3144
43000000,-0.2894
44000000,-0.2681
45000000,-0.2923
46000000,-0.2700
47000000,-0.2752
48000000,-0.2752
49000000,-0.3077
50000000,-0.3257
51000000,-0.3451
52000000,-0.3723
53000000,-0.3773
54000000,-0.4239
55000000,-0.3849
56000000,-0.3596
57000000,-0.3479
58000000,-0.3875
59000000,-0.3607
60000000,-0.4423
61000000,-0.4642
62000000,-0.4804
63000000,-0.4928
64000000,-0.4974
65000000,-0.4733
66000000,-0.3653
67000000,-0.3591
68000000,-0.3418
69000000,-0.3410
70000000,-0.3773
71000000,-0.3918
72000000,-0.4059
73000000,-0.3768
74000000,-0.4155
75000000,-0.3969
76000000,-0.3936
77000000,-0.3936
78000000,-0.3756
79000000,-0.3818
80000000,-0.3999
81000000,-0.3999
82000000,-0.3863
83000000,-0.3797
84000000,-0.3947
85000000,-0.4140
86000000,-0.4140
87000000,-0.4070
88000000,-0.4254
89000000,-0.4193
90000000,-0.3965
91000000,-0.4843
92000000,-0.4843
93000000,-0.4862
94000000,-0.4862
95000000,-0.5045
96000000,-0.4700
97000000,-0.3813
98000000,-0.3904
99000000,-0.3982
100000000,-0.3982
101000000,-0.4072
102000000,-0.4066
103000000,-0.3922
104000000,-0.4035
105000000,-0.4035
106000000,-0.4262
107000000,-0.4112
108000000,-0.4006
109000000,-0.4508
110000000,-0.4994
111000000,-0.4994
112000000,-0.4544
113000000,-0.4544
114000000,-0.4505
115000000,-0.4379
116000000,-0.4351
117000000,-0.4369
118000000,-0.4196
119000000,-0.4451
120000000,-0.4443
121000000,-0.4598
122000000,-0.4636
123000000,-0.4020
124000000,-0.3954
