time,volume,active_address
2023-03-01,758085614781.7589,14130529
2013-09-01,2831490509.155128,1202870
2017-11-01,771846604220.5365,13607361
2014-05-01,11455626520.809393,2693565
2018-10-01,171549868634.23343,11227716
2018-05-01,285121282113.81067,9761373
2013-12-01,27729833936.66649,2477803
2014-11-01,10212268390.202896,3586218
2017-03-01,102924454675.02202,11629498
2022-06-01,3260885350385.7993,13006355
2019-02-01,188611092655.0362,10179475
2015-11-01,28446395201.311245,6251434
2015-09-01,8716046127.022173,4767701
2024-06-01,1315403891934.3284,9549359
2018-06-01,249361625076.55695,8808944
2019-09-01,290550617031.7016,12127669
2020-04-01,205569067670.13998,13433960
2018-07-01,199311507266.36566,11218641
2022-04-01,6277041000584.8,13978617
2013-10-01,4611427496.551958,1476666
2014-08-01,12036448945.204855,3106622
2019-01-01,126455203350.09874,10105146
2013-02-01,1077166582.1337993,887422
2016-06-01,44267992808.9478,7423361
2013-08-01,3209004424.6085668,1461345
2024-10-01,1342389238226.6013,10822962
2020-05-01,274241126809.1009,15024138
2021-07-01,2246581440423.549,12877488
2014-10-01,9452636730.966026,3393520
2019-08-01,791888959391.6,11795985
2015-02-01,5654734723.560245,3581061
2024-04-01,1576397761976.983,11318032
2023-08-01,712864153466.977,16287048
2022-11-01,1209299315104.768,14547100
2022-05-01,4685391755519.152,14046323
2020-03-01,229224145726.58395,12262892
2015-07-01,10144276868.83204,5201049
2020-09-01,890458727318.487,15534754
2024-05-01,1387750659521.8342,9763335
2015-12-01,47331661770.42729,7039628
2022-09-01,1991586847615.3574,13678543
2015-06-01,9399697446.393236,4708491
2018-11-01,165959164501.28214,10421228
2017-08-01,263587017773.38742,11862077
2017-04-01,96360195384.52824,10806969
2023-07-01,733698727581.7476,16411473
2017-12-01,1138751123527.877,16304736
2023-01-01,517754445612.4684,15180029
2019-05-01,284641618468.3911,13656745
2016-05-01,34632480914.006294,7051550
2024-01-01,1211436429778.5984,14663680
2024-09-01,1468991363828.4778,10335809
2017-09-01,273822311408.85178,11179563
2018-12-01,136660683791.65106,10669885
2016-03-01,51469210593.582954,7761972
2017-05-01,181214899902.9502,13131415
2022-07-01,2165144249032.07,13118214
2018-09-01,180877411585.85477,10398056
2017-10-01,304893738062.28125,12991816
2014-09-01,7359835909.352877,3196260
2022-02-01,4811735679191.851,13078619
2016-12-01,43731506562.30622,11216934
2023-10-01,788383764478.7686,15780194
2015-05-01,7533591565.285242,4348792
2023-12-01,1004187689282.3088,13773132
2020-11-01,1098060807577.2837,16914705
2017-01-01,58194910252.47621,10850271
2023-11-01,869911304516.4973,17066008
2019-07-01,633093005794.3002,11987147
2020-10-01,908781980546.537,14572444
2017-06-01,228983194664.22266,11915415
2014-04-01,8420449830.245602,2759702
2020-06-01,275833491266.1049,14474791
2024-08-01,1437728513011.124,10296119
2022-10-01,1146763239332.9998,14470746
2019-03-01,156907065783.8341,11553090
2013-06-01,1911095238.3986554,997983
2015-03-01,8422873904.079479,3946257
2022-03-01,5272416617676.499,13394404
2016-02-01,44696659694.63153,7920502
2021-03-01,2563076008646.5425,17184724
2021-10-01,6837562080286.965,15857982
2015-08-01,10252332861.939213,4915303
2018-08-01,202325360454.05536,10567221
2016-04-01,37621878016.00805,7164181
2014-06-01,12249460306.248533,2864761
2018-02-01,350923146132.68677,12925423
2019-10-01,254648841400.4211,11864386
2016-07-01,45006448607.42417,7335485
2015-04-01,6835292398.483718,3986657
2016-11-01,51868019968.08838,10017299
2023-06-01,858194811170.8422,14570010
2024-11-01,2198253547509.8608,11898723
2014-03-01,16421048842.782484,2982287
2022-01-01,5217173274599.837,13356406
2020-07-01,278854608737.2521,16351689
2014-12-01,10450166904.6754,3850379
2020-12-01,1286745202188.5273,17191490
2019-04-01,234259101359.75793,12357456
2020-01-01,230524610876.8064,12403026
2013-03-01,3053970466.442786,1021552
2014-01-01,16361282403.592749,2231523
2019-12-01,218384280927.2086,12386721
2013-05-01,2767554734.3990345,1120727
2017-07-01,231523162450.92792,11216111
2015-10-01,13128232461.366264,5803370
2021-09-01,6591052695569.273,14152805
2018-04-01,300360891267.6799,9533800
2021-05-01,2840398025576.019,16515322
2013-07-01,2339698135.1055775,1137680
2015-01-01,9486220286.160973,4121695
2024-12-01,1221263746097.9966,7380801
2023-05-01,691327898790.3287,12371179
2014-07-01,9166847762.713556,2890884
2021-01-01,2160468070773.3416,18626882
2021-08-01,4021525715150.223,12738595
2013-11-01,31460282259.238808,2484571
2024-03-01,2110774172724.2373,14138474
2013-01-01,801515064.7581896,895929
2018-01-01,844287996956.143,15745028
2022-08-01,2400804978521.733,13086876
2013-04-01,6844147651.350412,1322211
2023-09-01,557682419681.4446,17887181
2021-04-01,2988643635578.2393,15803711
2014-02-01,11824544577.638432,2461351
2017-02-01,58182636679.854546,9772833
2019-06-01,474026228066.87354,13623709
2018-03-01,310453137678.4049,12052113
2021-02-01,2747855544450.607,15901964
2016-08-01,37281536052.44205,7831201
2016-10-01,45502882555.562386,9013697
2020-02-01,277100480203.1838,12764247
2024-07-01,1451603371755.3757,11245238
2024-02-01,1303120912858.049,12970865
2016-09-01,33122848466.980423,8063320
2021-06-01,1620354574560.3638,12329350
2023-04-01,721808614064.1588,15014656
2020-08-01,536156027635.3469,16352687
2021-12-01,5346272510163.934,14619811
2021-11-01,8172003466170.354,14408435
2016-01-01,88363882116.15067,8141973
2023-02-01,500449616989.724,13667304
2022-12-01,447400578667.8327,14858056
2019-11-01,268243709948.04327,11643396
