hour,cumulative_amount_usd,liquidated_amount_usd,liquidated_ratio
2020-12-03 09:00:00.000 UTC,10359.314380241538,0,0
2020-12-04 03:00:00.000 UTC,743009.8088056708,0,0
2020-12-04 04:00:00.000 UTC,773443.5615103594,0,0
2020-12-04 10:00:00.000 UTC,938069.1679580595,0,0
2020-12-04 11:00:00.000 UTC,908295.1081970377,0,0
2020-12-05 09:00:00.000 UTC,1901817.6513990108,0,0
2020-12-06 01:00:00.000 UTC,2632682.8706985684,0,0
2020-12-07 02:00:00.000 UTC,3360919.954277812,0,0
2020-12-07 03:00:00.000 UTC,3392018.7509733606,0,0
2020-12-08 17:00:00.000 UTC,6585526.3921123985,0,0
2020-12-09 19:00:00.000 UTC,8688415.312330224,0,0
2020-12-13 02:00:00.000 UTC,10773875.939213442,0,0
2020-12-14 08:00:00.000 UTC,11691439.722513571,0,0
2020-12-15 18:00:00.000 UTC,14192819.21383656,0,0
2020-12-16 02:00:00.000 UTC,15195568.335998325,0,0
2020-12-16 20:00:00.000 UTC,15271433.756199105,0,0
2020-12-17 00:00:00.000 UTC,15353796.569939852,0,0
2020-12-17 03:00:00.000 UTC,14831947.03382406,0,0
2020-12-17 16:00:00.000 UTC,15168805.075825805,0,0
2020-12-18 10:00:00.000 UTC,15949567.029491032,0,0
2020-12-18 17:00:00.000 UTC,18901433.866576683,0,0
2020-12-18 18:00:00.000 UTC,18996048.872656476,0,0
2020-12-19 13:00:00.000 UTC,18636029.492138427,0,0
2020-12-19 16:00:00.000 UTC,18607019.565240614,0,0
2020-12-20 08:00:00.000 UTC,18905132.428924583,0,0
2020-12-20 15:00:00.000 UTC,19301956.596762374,0,0
2020-12-21 09:00:00.000 UTC,20164322.774242956,0,0
2020-12-21 10:00:00.000 UTC,20235862.07633541,0,0
2020-12-21 17:00:00.000 UTC,19632491.000829663,0,0
2020-12-22 15:00:00.000 UTC,19960469.444751628,0,0
2020-12-23 04:00:00.000 UTC,27178435.887360413,0,0
2020-12-23 07:00:00.000 UTC,25265321.593640033,0,0
2020-12-23 11:00:00.000 UTC,23378064.556530144,0,0
2020-12-24 02:00:00.000 UTC,25085348.031540018,0,0
2020-12-25 23:00:00.000 UTC,22372719.212029442,0,0
2020-12-26 14:00:00.000 UTC,22000330.078031495,0,0
2020-12-27 01:00:00.000 UTC,22027597.715459477,0,0
2020-12-29 06:00:00.000 UTC,37116828.37171491,0,0
2020-12-30 12:00:00.000 UTC,30238852.554238196,0,0
2020-12-31 03:00:00.000 UTC,39125070.91932372,0,0
2020-12-31 14:00:00.000 UTC,40108228.88569839,0,0
2021-01-02 01:00:00.000 UTC,45721516.419134304,0,0
2021-01-02 04:00:00.000 UTC,44922167.10602467,0,0
2021-01-02 11:00:00.000 UTC,45108778.326362886,0,0
2021-01-03 06:00:00.000 UTC,47915391.60238122,0,0
2021-01-03 22:00:00.000 UTC,50039046.031348616,0,0
2021-01-04 20:00:00.000 UTC,51404474.39640865,0,0
2021-01-05 03:00:00.000 UTC,53172028.177339435,0,0
2021-01-05 04:00:00.000 UTC,53258669.09908026,0,0
2021-01-05 22:00:00.000 UTC,62350024.26467401,0,0
2021-01-05 23:00:00.000 UTC,62466858.38944501,0,0
2021-01-06 14:00:00.000 UTC,66143987.95522233,0,0
2021-01-06 21:00:00.000 UTC,74279032.21502677,0,0
2021-01-07 19:00:00.000 UTC,84420108.97819233,0,0
2021-01-07 20:00:00.000 UTC,84316048.05015676,0,0
2021-01-08 03:00:00.000 UTC,85894682.93963669,0,0
2021-01-09 06:00:00.000 UTC,89491172.68301155,0,0
2021-01-09 13:00:00.000 UTC,91253692.46610701,0,0
2021-01-10 12:00:00.000 UTC,99152185.45838667,0,0
2021-01-10 19:00:00.000 UTC,99586674.23974484,0,0
2021-01-12 05:00:00.000 UTC,88323213.57693954,0,0
2021-01-13 00:00:00.000 UTC,83382208.21044795,0,0
2021-01-13 11:00:00.000 UTC,82931202.63546976,0,0
2021-01-13 19:00:00.000 UTC,83390160.50871052,0,0
2021-01-14 02:00:00.000 UTC,87730116.10733467,0,0
2021-01-14 05:00:00.000 UTC,86938616.41730234,0,0
2021-01-15 16:00:00.000 UTC,93954254.24016073,0,0
2021-01-16 18:00:00.000 UTC,102222551.46516345,0,0
2021-01-16 19:00:00.000 UTC,103173317.21497677,0,0
2021-01-17 01:00:00.000 UTC,104509432.921038,351439.1311369495,0.0033627503404642816
2021-01-17 20:00:00.000 UTC,103144906.10837874,0,0
2021-01-18 00:00:00.000 UTC,102743017.9937232,0,0
2021-01-18 08:00:00.000 UTC,103541238.6738875,0,0
2021-01-19 03:00:00.000 UTC,109208178.97444153,0,0
2021-01-19 10:00:00.000 UTC,110160025.74294657,0,0
