hour,hourly_net_amount,hourly_net_amount_usd,cumulative_amount,cumulative_amount_usd
2025-02-18 08:00:00.000 UTC,0.01960529,,38697.42177276966,2100238143.7330618
2025-02-18 07:00:00.000 UTC,-1.61918806,-154479.6569527778,38697.40216747966,2100238143.7330618
2025-02-18 06:00:00.000 UTC,3.88907369,372005.8825413659,38699.02135553966,2100392623.3900146
2025-02-18 05:00:00.000 UTC,2.53524843,243687.16640216523,38695.13228184966,2100020617.5074732
2025-02-18 04:00:00.000 UTC,2.00383722,192899.47013678876,38692.59703341966,2099776930.3410711
2025-02-18 03:00:00.000 UTC,6.87385316,660741.9861977136,38690.59319619966,2099584030.8709342
2025-02-18 02:00:00.000 UTC,0.06248204,6018.7811958872,38683.71934303966,2098923288.8847365
2025-02-18 01:00:00.000 UTC,4.53042417,433553.5742182191,38683.65686099966,2098917270.1035407
2025-02-18 00:00:00.000 UTC,-0.05904073,-5658.4777329752005,38679.12643682966,2098483716.5293224
2025-02-17 23:00:00.000 UTC,1.61951674,155428.6978407998,38679.18547755966,2098489375.0070553
2025-02-17 22:00:00.000 UTC,0.00466517,449.80925346539993,38677.56596081966,2098333946.3092146
2025-02-17 21:00:00.000 UTC,1.12311473,107910.90732720861,38677.561295649655,2098333496.4999611
2025-02-17 20:00:00.000 UTC,-2.54816769,-243666.7261571901,38676.43818091966,2098225585.592634
2025-02-17 19:00:00.000 UTC,0.15597195,14880.447739848,38678.98634860966,2098469252.3187912
2025-02-17 18:00:00.000 UTC,-0.19724417,-18856.4815063073,38678.83037665966,2098454371.8710513
2025-02-17 17:00:00.000 UTC,7.44083114,710396.611221435,38679.02762082966,2098473228.3525577
2025-02-17 16:00:00.000 UTC,-17.25253906,-1651236.200297835,38671.58678968966,2097762831.741336
2025-02-17 15:00:00.000 UTC,3.74590568,362647.3845432856,38688.83932874966,2099414067.941634
2025-02-17 14:00:00.000 UTC,-10,-964362.8999999999,38685.09342306966,2099051420.5570908
2025-02-17 13:00:00.000 UTC,5.17992716,499919.0695511428,38695.09342306966,2100015783.4570909
2025-02-17 12:00:00.000 UTC,-8.2213099,-790151.163259287,38689.913495909655,2099515864.3875396
2025-02-17 11:00:00.000 UTC,2.82832909,272027.5888278549,38698.134805809656,2100306015.550799
2025-02-17 10:00:00.000 UTC,-0.58151743,-55969.558137704895,38695.306476719656,2100033987.961971
2025-02-17 09:00:00.000 UTC,0.98875191,95111.9122428681,38695.887994149656,2100089957.5201087
2025-02-17 08:00:00.000 UTC,-0.24287467,-23348.076351374,38694.899242239655,2099994845.6078658
2025-02-17 07:00:00.000 UTC,3.70041862,356856.41936065746,38695.14211690966,2100018193.6842172
2025-02-17 06:00:00.000 UTC,0.14110858,13590.5821990252,38691.44169828966,2099661337.2648566
2025-02-17 05:00:00.000 UTC,-38.88078956,-3738547.327431196,38691.30058970966,2099647746.6826575
2025-02-17 04:00:00.000 UTC,1.11126229,106989.4551118689,38730.181379269656,2103386294.0100887
2025-02-17 03:00:00.000 UTC,-0.72958432,-70251.637693584,38729.07011697966,2103279304.5549767
