hour,cumulative_amount_usd,liquidated_amount_usd,liquidated_ratio
2020-12-02 20:00:00.000 UTC,10354.314380241538,0,0
2020-12-03 16:00:00.000 UTC,642271.9633834382,0,0
2020-12-04 01:00:00.000 UTC,727222.706406813,0,0
2020-12-04 22:00:00.000 UTC,1743104.9466033198,0,0
2020-12-05 18:00:00.000 UTC,2153408.491920492,0,0
2020-12-07 00:00:00.000 UTC,3208891.0484277587,0,0
2020-12-07 06:00:00.000 UTC,3372038.3901172155,0,0
2020-12-07 09:00:00.000 UTC,3540929.298601363,0,0
2020-12-07 20:00:00.000 UTC,5574143.777874312,0,0
2020-12-08 02:00:00.000 UTC,5580219.744237283,0,0
2020-12-08 11:00:00.000 UTC,6757571.984085706,0,0
2020-12-08 20:00:00.000 UTC,6647752.164477453,0,0
2020-12-09 05:00:00.000 UTC,6864988.856032344,0,0
2020-12-09 17:00:00.000 UTC,7613179.401747722,0,0
2020-12-09 22:00:00.000 UTC,8594542.694411485,0,0
2020-12-10 07:00:00.000 UTC,8501518.683891265,0,0
2020-12-10 19:00:00.000 UTC,8647447.746253688,0,0
2020-12-11 10:00:00.000 UTC,9111629.408834334,0,0
2020-12-11 13:00:00.000 UTC,9175479.578310266,0,0
2020-12-11 19:00:00.000 UTC,9133451.978256645,0,0
2020-12-12 09:00:00.000 UTC,9728685.88981628,0,0
2020-12-13 00:00:00.000 UTC,9712362.394893197,0,0
2020-12-13 06:00:00.000 UTC,10755411.93077168,0,0
2020-12-14 02:00:00.000 UTC,11351897.723545106,0,0
2020-12-15 14:00:00.000 UTC,13944323.260444919,0,0
2020-12-15 17:00:00.000 UTC,14162720.147073684,0,0
2020-12-15 23:00:00.000 UTC,15169354.097898452,0,0
2020-12-16 08:00:00.000 UTC,15817716.372136263,0,0
2020-12-16 19:00:00.000 UTC,15216645.910680419,0,0
2020-12-17 04:00:00.000 UTC,14913302.956270535,0,0
2020-12-17 13:00:00.000 UTC,15493645.396067178,8540.577067927708,0.000551230962733638
2020-12-19 12:00:00.000 UTC,18936906.840076763,0,0
2020-12-20 03:00:00.000 UTC,19025805.553753007,0,0
2020-12-20 12:00:00.000 UTC,19418764.64806342,0,0
2020-12-21 05:00:00.000 UTC,20079172.435075067,0,0
2020-12-21 14:00:00.000 UTC,20174557.871490497,0,0
2020-12-21 23:00:00.000 UTC,20108528.46203309,0,0
2020-12-23 01:00:00.000 UTC,27185181.314515248,0,0
2020-12-23 10:00:00.000 UTC,24310884.868605144,0,0
2020-12-24 07:00:00.000 UTC,23542199.69912341,0,0
2020-12-24 16:00:00.000 UTC,22042721.41494298,0,0
2020-12-25 12:00:00.000 UTC,21759168.642253876,0,0
2020-12-25 18:00:00.000 UTC,22067399.452503834,0,0
2020-12-26 03:00:00.000 UTC,22480106.79312183,0,0
2020-12-27 05:00:00.000 UTC,21976354.982951775,0,0
2020-12-28 20:00:00.000 UTC,23406175.830416963,0,0
2020-12-29 22:00:00.000 UTC,37832228.908242226,0,0
2020-12-30 07:00:00.000 UTC,30104464.522379756,0,0
2020-12-30 16:00:00.000 UTC,30037128.431443106,0,0
2020-12-31 09:00:00.000 UTC,37705789.1311468,0,0
2020-12-31 18:00:00.000 UTC,40297589.17702405,0,0
2021-01-01 03:00:00.000 UTC,43047407.87461413,0,0
2021-01-02 00:00:00.000 UTC,43673557.91416977,0,0
2021-01-03 00:00:00.000 UTC,48285354.081200704,0,0
2021-01-03 11:00:00.000 UTC,48757559.10164314,0,0
2021-01-03 17:00:00.000 UTC,50588182.80554711,0,0
2021-01-03 20:00:00.000 UTC,49425891.232462905,0,0
2021-01-04 22:00:00.000 UTC,51280150.354830116,0,0
2021-01-05 13:00:00.000 UTC,64292504.85854975,0,0
2021-01-06 19:00:00.000 UTC,73923809.33263002,0,0
2021-01-07 04:00:00.000 UTC,78807522.42296916,0,0
2021-01-07 15:00:00.000 UTC,81288069.62139243,0,0
2021-01-07 21:00:00.000 UTC,83187279.72301675,0,0
2021-01-08 00:00:00.000 UTC,85480500.0658258,0,0
2021-01-08 17:00:00.000 UTC,85275629.6142119,0,0
2021-01-09 02:00:00.000 UTC,86447424.03790648,0,0
2021-01-09 11:00:00.000 UTC,90941696.2398499,0,0
2021-01-09 20:00:00.000 UTC,91666397.50190485,0,0
2021-01-10 23:00:00.000 UTC,100011390.03654113,0,0
2021-01-12 01:00:00.000 UTC,90093454.76815753,0,0
2021-01-12 04:00:00.000 UTC,88101916.13895437,0,0
2021-01-12 10:00:00.000 UTC,85936107.8058474,0,0
2021-01-13 21:00:00.000 UTC,87735993.33704728,0,0
2021-01-14 06:00:00.000 UTC,88896115.91702563,0,0
2021-01-14 18:00:00.000 UTC,92547183.60842256,0,0
2021-01-15 03:00:00.000 UTC,93306567.82185754,0,0
2021-01-15 12:00:00.000 UTC,94897288.73286405,0,0
2021-01-16 08:00:00.000 UTC,103040411.28923963,0,0
2021-01-16 14:00:00.000 UTC,97689891.89368097,0,0
2021-01-16 23:00:00.000 UTC,104619043.31822531,0,0
2021-01-19 16:00:00.000 UTC,121513710.60580862,0,0
2021-01-20 18:00:00.000 UTC,124510863.83453724,0,0
2021-01-21 03:00:00.000 UTC,128912346.14957683,0,0
2021-01-22 05:00:00.000 UTC,126497753.9974864,0,0
2021-01-22 14:00:00.000 UTC,130430604.514006,0,0
2021-01-22 23:00:00.000 UTC,132972832.38615252,0,0
2021-01-23 11:00:00.000 UTC,131365033.3277944,0,0
2021-01-23 20:00:00.000 UTC,135144527.36532313,0,0
2021-01-25 07:00:00.000 UTC,145700436.1627322,0,0
2021-01-25 13:00:00.000 UTC,146981953.23309276,0,0
2021-01-25 16:00:00.000 UTC,147871511.7971272,0,0
2021-01-29 11:00:00.000 UTC,192556712.85931697,0,0
2021-01-29 17:00:00.000 UTC,195347424.16480443,0,0
2021-01-29 20:00:00.000 UTC,194528115.44121456,0,0
2021-01-30 02:00:00.000 UTC,195596451.20070112,0,0
2021-01-30 13:00:00.000 UTC,196976258.34223747,0,0
2021-01-30 22:00:00.000 UTC,201331037.07689652,0,0
2021-01-31 07:00:00.000 UTC,200466678.87103865,0,0
2021-02-01 04:00:00.000 UTC,212699607.6349197,0,0
2021-02-02 15:00:00.000 UTC,222338815.79703468,0,0
2021-02-02 21:00:00.000 UTC,226661547.76280865,0,0
2021-02-04 08:00:00.000 UTC,242488311.87740165,0,0
2021-02-04 11:00:00.000 UTC,243235926.23306078,0,0
2021-02-04 17:00:00.000 UTC,244602950.624312,0,0
2021-02-05 02:00:00.000 UTC,242840850.26284254,0,0
2021-02-06 04:00:00.000 UTC,251169238.52050844,0,0
2021-02-07 01:00:00.000 UTC,270392158.45639724,0,0
2021-02-07 10:00:00.000 UTC,270972803.75205326,0,0
2021-02-07 19:00:00.000 UTC,273823912.4238126,0,0
2021-02-08 06:00:00.000 UTC,270816183.39549404,0,0
2021-02-08 12:00:00.000 UTC,270753055.18187773,1261.610416716885,0.0000046596350163783055
2021-02-08 15:00:00.000 UTC,271596442.9828825,0,0
2021-02-11 14:00:00.000 UTC,306273707.26874876,0,0
2021-02-11 20:00:00.000 UTC,310797204.1028464,0,0
2021-02-12 16:00:00.000 UTC,332912075.500562,0,0
2021-02-13 01:00:00.000 UTC,331567366.5015408,0,0
2021-02-13 10:00:00.000 UTC,349205746.8576939,0,0
2021-02-13 16:00:00.000 UTC,350970438.087436,0,0
2021-02-13 22:00:00.000 UTC,352642772.9345922,0,0
2021-02-14 07:00:00.000 UTC,350972860.4840938,0,0
2021-02-14 12:00:00.000 UTC,352577800.4535921,0,0
2021-02-14 21:00:00.000 UTC,347765858.9817789,0,0
2021-02-15 18:00:00.000 UTC,352156290.6440931,0,0
2021-02-16 00:00:00.000 UTC,353119028.5276469,0,0
2021-02-16 03:00:00.000 UTC,354069643.11384743,0,0
2021-02-17 05:00:00.000 UTC,366124955.8101569,0,0
2021-02-17 14:00:00.000 UTC,368281180.058087,0,0
2021-02-20 04:00:00.000 UTC,404198886.2314067,0,0
2021-02-20 07:00:00.000 UTC,403638424.7932625,0,0
2021-02-20 13:00:00.000 UTC,409564967.42292386,0,0
2021-02-20 22:00:00.000 UTC,410376855.5829627,0,0
2021-02-21 09:00:00.000 UTC,423952433.0467627,0,0
2021-02-21 18:00:00.000 UTC,429450478.31854826,0,0
2021-02-22 03:00:00.000 UTC,426244706.8064857,0,0
2021-02-22 15:00:00.000 UTC,438025252.8296351,0,0
2021-02-24 11:00:00.000 UTC,432970470.7365781,0,0
2021-02-24 17:00:00.000 UTC,419943760.1877073,0,0
2021-02-25 11:00:00.000 UTC,419347636.4668933,0,0
2021-02-25 22:00:00.000 UTC,424004658.9443345,0,0
2021-02-26 04:00:00.000 UTC,423872069.190438,0,0
2021-02-26 07:00:00.000 UTC,415877484.28564495,0,0
2021-02-28 00:00:00.000 UTC,417691267.2137586,0,0
2021-02-28 12:00:00.000 UTC,449296099.9004846,0,0
2021-02-28 21:00:00.000 UTC,446734062.4503749,0,0
2021-03-01 06:00:00.000 UTC,439710516.5220127,0,0
2021-03-01 15:00:00.000 UTC,442074051.6475491,0,0
2021-03-02 02:00:00.000 UTC,456397613.85703087,0,0
2021-03-02 08:00:00.000 UTC,456084785.9366968,0,0
2021-03-02 11:00:00.000 UTC,454162492.4027427,0,0
2021-03-03 02:00:00.000 UTC,459590111.06945676,0,0
2021-03-04 19:00:00.000 UTC,475221843.6466689,0,0
2021-03-06 12:00:00.000 UTC,495523462.4740475,0,0
2021-03-06 15:00:00.000 UTC,495524735.2319702,0,0
2021-03-06 21:00:00.000 UTC,501005600.82980263,0,0
2021-03-08 08:00:00.000 UTC,495507910.4548102,0,0
