"Date","Bids","Asks","Difference","BTC Price"
"2023-08-10 10:00:00","38240811","36576941","1663870","29551.907889902493"
"2023-08-10 11:00:00","40746815","35653324","5093491","29545.587091087946"
"2023-08-10 12:00:00","43112329","37546644","5565685","29509.244619796995"
"2023-08-10 13:00:00","44823836","38275128","6548708","29547.78912155294"
"2023-08-10 14:00:00","39675685","37182450","2493235","29474.84519009116"
"2023-08-10 15:00:00","38120609","31356530","6764079","29452.627026968465"
"2023-08-10 16:00:00","41445698","27347868","14097830","29466.258016119376"
"2023-08-10 17:00:00","42065269","29862300","12202969","29492.763929322093"
"2023-08-10 18:00:00","40939753","31352870","9586883","29510.996442358493"
"2023-08-10 19:00:00","43039974","33182205","9857769","29478.55319762959"
"2023-08-10 20:00:00","40346762","30582806","9763956","29498.897984284034"
"2023-08-10 21:00:00","40006433","31376213","8630220","29656.162875849943"
"2023-08-10 22:00:00","34950214","33858920","1091294","29488.59248316993"
"2023-08-10 23:00:00","40533773","28839674","11694099","29441.844253091793"
"2023-08-11 00:00:00","44349892","35223206","9126686","29403.984623458055"
"2023-08-11 01:00:00","46326144","35573186","10752958","29405.311601435507"
"2023-08-11 02:00:00","39557016","31606726","7950290","29391.025600973433"
"2023-08-11 03:00:00","43832955","36583567","7249388","29419.907361022462"
"2023-08-11 04:00:00","44894262","35004001","9890261","29412.93187588838"
"2023-08-11 05:00:00","47717861","35053640","12664221","29433.577918924722"
"2023-08-11 06:00:00","34292145","25629382","8662763","29434.094900697433"
"2023-08-11 07:00:00","47797759","36439344","11358415","29422.175376961935"
"2023-08-11 08:00:00","46845855","36223351","10622504","29446.488682566673"
"2023-08-11 09:00:00","46350460","39308374","7042086","29415.774082566553"
"2023-08-11 10:00:00","47440403","38608287","8832116","29344.08733215328"
"2023-08-11 11:00:00","44508344","35895410","8612934","29367.23872249489"
"2023-08-11 12:00:00","44112272","38310404","5801868","29368.570377178872"
"2023-08-11 13:00:00","44460547","38641393","5819154","29409.369434536136"
"2023-08-11 14:00:00","38891849","32742940","6148909","29414.83941061033"
"2023-08-11 15:00:00","42647790","34750420","7897370","29366.87601650396"
"2023-08-11 16:00:00","42418509","36813927","5604582","29364.454570098052"
"2023-08-11 17:00:00","45489572","38007819","7481753","29361.473334785278"
"2023-08-11 18:00:00","44628046","37782912","6845134","29342.530529300257"
"2023-08-11 19:00:00","48175825","40017147","8158678","29408.959622021266"
"2023-08-11 20:00:00","48713902","39488975","9224927","29418.39188060728"
"2023-08-11 21:00:00","47183127","40068503","7114624","29434.181950613107"
"2023-08-11 22:00:00","40612230","33343433","7268797","29453.61155970663"
"2023-08-11 23:00:00","35992463","31838623","4153840","29372.222108787497"
"2023-08-12 00:00:00","49209088","35674213","13534875","29336.059352472377"
"2023-08-12 01:00:00","42907134","38302398","4604736","29308.434058595583"
"2023-08-12 02:00:00","47211744","38842750","8368994","29336.26622881152"
"2023-08-12 03:00:00","45831918","40420840","5411078","29352.36505290286"
"2023-08-12 04:00:00","44027056","40170673","3856383","29384.84798220424"
"2023-08-12 05:00:00","44287092","41635068","2652024","29376.486605224796"
"2023-08-12 06:00:00","41557940","39327725","2230215","29403.88947129741"
"2023-08-12 07:00:00","40675702","42195785","-1520083","29407.32413443092"
"2023-08-12 08:00:00","42024557","40657688","1366869","29435.139323272568"
"2023-08-12 09:00:00","40929984","38202410","2727574","29384.86032594998"
"2023-08-12 10:00:00","41913396","36708609","5204787","29371.899335995786"
"2023-08-12 11:00:00","41535379","37639805","3895574","29380.252606952825"
"2023-08-12 12:00:00","43790946","37491790","6299156","29392.97957894383"
"2023-08-12 13:00:00","42376968","39139799","3237169","29382.881082445903"
"2023-08-12 14:00:00","42307348","37566930","4740418","29395.218153251335"
"2023-08-12 15:00:00","41732243","38754553","2977690","29398.082511827524"
"2023-08-12 16:00:00","44239489","39629467","4610022","29381.4129255091"
"2023-08-12 17:00:00","45188531","40815791","4372740","29408.91774258186"
"2023-08-12 18:00:00","40931169","40257233","673936","29425.009281625655"
"2023-08-12 19:00:00","41446170","39363917","2082253","29419.925747061032"
"2023-08-12 20:00:00","40699029","39926606","772423","29420.49743375199"
"2023-08-12 21:00:00","40163560","39975672","187888","29403.594379509224"
"2023-08-12 22:00:00","40483909","40276108","207801","29440.011339196022"
"2023-08-12 23:00:00","39875743","40148196","-272453","29433.66575929407"
"2023-08-13 00:00:00","41169222","38048770","3120452","29455.437007550216"
"2023-08-13 01:00:00","39629706","38844382","785324","29430.16559400782"
"2023-08-13 02:00:00","41106932","39721757","1385175","29427.699136676183"
"2023-08-13 03:00:00","40927737","37928153","2999584","29414.738861567013"
"2023-08-13 04:00:00","41084614","38572002","2512612","29420.923180987797"
"2023-08-13 05:00:00","41447199","38973455","2473744","29420.424516356718"
"2023-08-13 06:00:00","30896187","28145052","2751135","29425.33765174528"
"2023-08-13 07:00:00","41278973","37759711","3519262","29426.72264658573"
"2023-08-13 08:00:00","40869674","38175055","2694619","29444.47697508356"
"2023-08-13 09:00:00","41390553","39145784","2244769","29446.935939817417"
"2023-08-13 10:00:00","42645673","38881332","3764341","29443.398896314917"
"2023-08-13 11:00:00","40881801","39354670","1527131","29414.2816668036"
"2023-08-13 12:00:00","41855142","38944800","2910342","29387.37709536174"
"2023-08-13 13:00:00","43616046","37832375","5783671","29380.15321157255"
"2023-08-13 14:00:00","48821745","42837170","5984575","29392.202227623136"
"2023-08-13 15:00:00","47903892","42016615","5887277","29392.17499649821"
"2023-08-13 16:00:00","45842975","41255716","4587259","29406.51173379898"
"2023-08-13 17:00:00","47434102","42741051","4693051","29412.383123410094"
"2023-08-13 18:00:00","46267546","42420066","3847480","29402.0239463293"
"2023-08-13 19:00:00","46180512","44067792","2112720","29389.26521923947"
"2023-08-13 20:00:00","44477115","36786399","7690716","29395.026499264368"
"2023-08-13 21:00:00","43168972","36495524","6673448","29385.506457344556"
"2023-08-13 22:00:00","44284408","44155829","128579","29382.15140505337"
"2023-08-13 23:00:00","43604308","45511068","-1906760","29377.39957655533"
"2023-08-14 00:00:00","44889402","44528379","361023","29360.12924284593"
"2023-08-14 01:00:00","44635942","43405424","1230518","29397.43292452893"
"2023-08-14 02:00:00","43385090","39643876","3741214","29418.23574596693"
"2023-08-14 03:00:00","43640580","38123812","5516768","29436.194990782504"
"2023-08-14 04:00:00","41100388","38215944","2884444","29415.483148950767"
"2023-08-14 05:00:00","42747295","38629043","4118252","29354.78012047461"
"2023-08-14 06:00:00","34678093","29185307","5492786","29303.66895270674"
"2023-08-14 07:00:00","48231326","34813196","13418130","29282.87201123775"
"2023-08-14 08:00:00","50295626","34693645","15601981","29249.520211632705"
"2023-08-14 09:00:00","53511136","39373386","14137750","29243.691724490895"
"2023-08-14 10:00:00","55570900","34781778","20789122","29287.303536443527"
"2023-08-14 11:00:00","46075221","35564534","10510687","29354.938486853876"
"2023-08-14 12:00:00","35222847","40982277","-5759430","29378.355928028184"
"2023-08-14 13:00:00","36383183","43322004","-6938821","29406.38612378329"
"2023-08-14 14:00:00","35682230","43640159","-7957929","29380.891727636244"
