upper_threshold,lower_threshold,sharpe_ratio
-3100000000,-3200000000,0.0
-3000000000,-3200000000,0.0
-3000000000,-3100000000,0.0
-2900000000,-3200000000,0.0
-2900000000,-3100000000,0.0
-2900000000,-3000000000,0.0
-2800000000,-3200000000,0.0
-2800000000,-3100000000,0.0
-2800000000,-3000000000,0.0
-2800000000,-2900000000,0.0
-2700000000,-3200000000,0.5209371024260355
-2700000000,-3100000000,0.5209371024260355
-2700000000,-3000000000,0.5209371024260355
-2700000000,-2900000000,0.5209371024260355
-2700000000,-2800000000,0.5209371024260355
-2600000000,-3200000000,0.5209371024260355
-2600000000,-3100000000,0.5209371024260355
-2600000000,-3000000000,0.5209371024260355
-2600000000,-2900000000,0.5209371024260355
-2600000000,-2800000000,0.5209371024260355
-2600000000,-2700000000,0.5209371024260355
-2500000000,-3200000000,0.5209371024260355
-2500000000,-3100000000,0.5209371024260355
-2500000000,-3000000000,0.5209371024260355
-2500000000,-2900000000,0.5209371024260355
-2500000000,-2800000000,0.5209371024260355
-2500000000,-2700000000,0.5209371024260355
-2500000000,-2600000000,0.5209371024260355
-2400000000,-3200000000,0.5209371024260355
-2400000000,-3100000000,0.5209371024260355
-2400000000,-3000000000,0.5209371024260355
-2400000000,-2900000000,0.5209371024260355
-2400000000,-2800000000,0.5209371024260355
-2400000000,-2700000000,0.5209371024260355
-2400000000,-2600000000,0.5209371024260355
-2400000000,-2500000000,0.5209371024260355
-2300000000,-3200000000,0.5209371024260355
-2300000000,-3100000000,0.5209371024260355
-2300000000,-3000000000,0.5209371024260355
-2300000000,-2900000000,0.5209371024260355
-2300000000,-2800000000,0.5209371024260355
-2300000000,-2700000000,0.5209371024260355
-2300000000,-2600000000,0.5209371024260355
-2300000000,-2500000000,0.5209371024260355
-2300000000,-2400000000,0.5209371024260355
-2200000000,-3200000000,0.5209371024260355
-2200000000,-3100000000,0.5209371024260355
-2200000000,-3000000000,0.5209371024260355
-2200000000,-2900000000,0.5209371024260355
-2200000000,-2800000000,0.5209371024260355
-2200000000,-2700000000,0.5209371024260355
-2200000000,-2600000000,0.5209371024260355
-2200000000,-2500000000,0.5209371024260355
-2200000000,-2400000000,0.5209371024260355
-2200000000,-2300000000,0.5209371024260355
-2100000000,-3200000000,0.5209371024260355
-2100000000,-3100000000,0.5209371024260355
-2100000000,-3000000000,0.5209371024260355
-2100000000,-2900000000,0.5209371024260355
-2100000000,-2800000000,0.5209371024260355
-2100000000,-2700000000,0.5209371024260355
-2100000000,-2600000000,0.5209371024260355
-2100000000,-2500000000,0.5209371024260355
-2100000000,-2400000000,0.5209371024260355
-2100000000,-2300000000,0.5209371024260355
-2100000000,-2200000000,0.5209371024260355
-2000000000,-3200000000,0.5209371024260355
-2000000000,-3100000000,0.5209371024260355
-2000000000,-3000000000,0.5209371024260355
-2000000000,-2900000000,0.5209371024260355
-2000000000,-2800000000,0.5209371024260355
-2000000000,-2700000000,0.5209371024260355
-2000000000,-2600000000,0.5209371024260355
-2000000000,-2500000000,0.5209371024260355
-2000000000,-2400000000,0.5209371024260355
-2000000000,-2300000000,0.5209371024260355
-2000000000,-2200000000,0.5209371024260355
-2000000000,-2100000000,0.5209371024260355
-1900000000,-3200000000,0.5209371024260355
-1900000000,-3100000000,0.5209371024260355
-1900000000,-3000000000,0.5209371024260355
-1900000000,-2900000000,0.5209371024260355
-1900000000,-2800000000,0.5209371024260355
-1900000000,-2700000000,0.5209371024260355
-1900000000,-2600000000,0.5209371024260355
-1900000000,-2500000000,0.5209371024260355
-1900000000,-2400000000,0.5209371024260355
-1900000000,-2300000000,0.5209371024260355
-1900000000,-2200000000,0.5209371024260355
-1900000000,-2100000000,0.5209371024260355
-1900000000,-2000000000,0.5209371024260355
-1800000000,-3200000000,0.5209371024260355
-1800000000,-3100000000,0.5209371024260355
-1800000000,-3000000000,0.5209371024260355
-1800000000,-2900000000,0.5209371024260355
-1800000000,-2800000000,0.5209371024260355
-1800000000,-2700000000,0.5209371024260355
-1800000000,-2600000000,0.5209371024260355
-1800000000,-2500000000,0.5209371024260355
-1800000000,-2400000000,0.5209371024260355
-1800000000,-2300000000,0.5209371024260355
-1800000000,-2200000000,0.5209371024260355
-1800000000,-2100000000,0.5209371024260355
-1800000000,-2000000000,0.5209371024260355
-1800000000,-1900000000,0.5209371024260355
-1700000000,-3200000000,0.5209371024260355
-1700000000,-3100000000,0.5209371024260355
-1700000000,-3000000000,0.5209371024260355
-1700000000,-2900000000,0.5209371024260355
-1700000000,-2800000000,0.5209371024260355
-1700000000,-2700000000,0.5209371024260355
-1700000000,-2600000000,0.5209371024260355
-1700000000,-2500000000,0.5209371024260355
-1700000000,-2400000000,0.5209371024260355
-1700000000,-2300000000,0.5209371024260355
-1700000000,-2200000000,0.5209371024260355
-1700000000,-2100000000,0.5209371024260355
-1700000000,-2000000000,0.5209371024260355
-1700000000,-1900000000,0.5209371024260355
-1700000000,-1800000000,0.5209371024260355
-1600000000,-3200000000,-0.49016177900699265
-1600000000,-3100000000,-0.49016177900699265
-1600000000,-3000000000,-0.49016177900699265
-1600000000,-2900000000,-0.49016177900699265
-1600000000,-2800000000,-0.49016177900699265
-1600000000,-2700000000,-0.49016177900699265
-1600000000,-2600000000,-0.49016177900699265
-1600000000,-2500000000,-0.49016177900699265
-1600000000,-2400000000,-0.49016177900699265
-1600000000,-2300000000,-0.49016177900699265
-1600000000,-2200000000,-0.49016177900699265
-1600000000,-2100000000,-0.49016177900699265
-1600000000,-2000000000,-0.49016177900699265
-1600000000,-1900000000,-0.49016177900699265
-1600000000,-1800000000,-0.49016177900699265
-1600000000,-1700000000,-0.49016177900699265
-1500000000,-3200000000,-0.5824323089545534
-1500000000,-3100000000,-0.5824323089545534
-1500000000,-3000000000,-0.5824323089545534
-1500000000,-2900000000,-0.5824323089545534
-1500000000,-2800000000,-0.5824323089545534
-1500000000,-2700000000,-0.5824323089545534
-1500000000,-2600000000,-0.5824323089545534
-1500000000,-2500000000,-0.5824323089545534
-1500000000,-2400000000,-0.5824323089545534
-1500000000,-2300000000,-0.5824323089545534
-1500000000,-2200000000,-0.5824323089545534
-1500000000,-2100000000,-0.5824323089545534
-1500000000,-2000000000,-0.5824323089545534
-1500000000,-1900000000,-0.5824323089545534
-1500000000,-1800000000,-0.5824323089545534
-1500000000,-1700000000,-0.5824323089545534
-1500000000,-1600000000,-0.5824323089545534
-1400000000,-3200000000,-0.5824323089545534
-1400000000,-3100000000,-0.5824323089545534
-1400000000,-3000000000,-0.5824323089545534
-1400000000,-2900000000,-0.5824323089545534
-1400000000,-2800000000,-0.5824323089545534
-1400000000,-2700000000,-0.5824323089545534
-1400000000,-2600000000,-0.5824323089545534
-1400000000,-2500000000,-0.5824323089545534
-1400000000,-2400000000,-0.5824323089545534
-1400000000,-2300000000,-0.5824323089545534
-1400000000,-2200000000,-0.5824323089545534
-1400000000,-2100000000,-0.5824323089545534
-1400000000,-2000000000,-0.5824323089545534
-1400000000,-1900000000,-0.5824323089545534
-1400000000,-1800000000,-0.5824323089545534
-1400000000,-1700000000,-0.5824323089545534
-1400000000,-1600000000,-0.5824323089545534
