upper_threshold,lower_threshold,sharpe_ratio
-1.3,-1.4,-0.5745540642031127
-1.2,-1.4,-0.5745540642031127
-1.2,-1.3,-0.5804188113089612
-1.1,-1.4,-0.5745540642031127
-1.1,-1.3,-0.5804188113089612
-1.1,-1.2,-0.5804188113089612
-1.0,-1.4,-0.5745540642031127
-1.0,-1.3,-0.5804188113089612
-1.0,-1.2,-0.5804188113089612
-1.0,-1.1,-0.5804188113089612
-0.9,-1.4,-0.5745540642031127
-0.9,-1.3,-0.5804188113089612
-0.9,-1.2,-0.5804188113089612
-0.9,-1.1,-0.5804188113089612
-0.9,-1.0,-0.6187669943605209
-0.8,-1.4,-0.5745540642031127
-0.8,-1.3,-0.5804188113089612
-0.8,-1.2,-0.5804188113089612
-0.8,-1.1,-0.5804188113089612
-0.8,-1.0,-0.6187669943605209
-0.8,-0.9,-0.6680020111388397
-0.7,-1.4,-0.5745540642031127
-0.7,-1.3,-0.5804188113089612
-0.7,-1.2,-0.5804188113089612
-0.7,-1.1,-0.5804188113089612
-0.7,-1.0,-0.6187669943605209
-0.7,-0.9,-0.6680020111388397
-0.7,-0.8,-0.6680020111388397
-0.6,-1.4,-0.5745540642031127
-0.6,-1.3,-0.5804188113089612
-0.6,-1.2,-0.5804188113089612
-0.6,-1.1,-0.5804188113089612
-0.6,-1.0,-0.6187669943605209
-0.6,-0.9,-0.6680020111388397
-0.6,-0.8,-0.6680020111388397
-0.6,-0.7,-0.7360540621976316
-0.5,-1.4,-0.5745540642031127
-0.5,-1.3,-0.5673608931205281
-0.5,-1.2,-0.5673608931205281
-0.5,-1.1,-0.5673608931205281
-0.5,-1.0,-0.6069063352731519
-0.5,-0.9,-0.6557324860137204
-0.5,-0.8,-0.6557324860137204
-0.5,-0.7,-0.7399515547479563
-0.5,-0.6,-0.7229897438078805
-0.4,-1.4,-0.5745540642031127
-0.4,-1.3,-0.5673608931205281
-0.4,-1.2,-0.5673608931205281
-0.4,-1.1,-0.5673608931205281
-0.4,-1.0,-0.6069063352731519
-0.4,-0.9,-0.6468127746961124
-0.4,-0.8,-0.6468127746961124
-0.4,-0.7,-0.7414014906289419
-0.4,-0.6,-0.7243912063458727
-0.4,-0.5,-0.8212911871101125
-0.3,-1.4,-0.5745540642031127
-0.3,-1.3,-0.5673608931205281
-0.3,-1.2,-0.5673608931205281
-0.3,-1.1,-0.5673608931205281
-0.3,-1.0,-0.6109194048493971
-0.3,-0.9,-0.6508930997828303
-0.3,-0.8,-0.6508930997828303
-0.3,-0.7,-0.733310779480986
-0.3,-0.6,-0.71440684660798
-0.3,-0.5,-0.6112522589857978
-0.3,-0.4,-0.8543089228630003
-0.2,-1.4,-0.5745540642031127
-0.2,-1.3,-0.5673608931205281
-0.2,-1.2,-0.5673608931205281
-0.2,-1.1,-0.5673608931205281
-0.2,-1.0,-0.6109194048493971
-0.2,-0.9,-0.6508930997828303
-0.2,-0.8,-0.6508930997828303
-0.2,-0.7,-0.7410843907726011
-0.2,-0.6,-0.7442868812475114
-0.2,-0.5,-0.6192945464249126
-0.2,-0.4,-0.754316141340609
-0.2,-0.3,-1.0395831448790467
-0.1,-1.4,-0.5745540642031127
-0.1,-1.3,-0.6334533568788314
-0.1,-1.2,-0.6334533568788314
-0.1,-1.1,-0.6334533568788314
-0.1,-1.0,-0.6708412899486826
-0.1,-0.9,-0.7132837464772248
-0.1,-0.8,-0.7132837464772248
-0.1,-0.7,-0.8466357533155167
-0.1,-0.6,-0.8480379904732263
-0.1,-0.5,-0.5784929930593867
-0.1,-0.4,-0.706969382714216
-0.1,-0.3,-1.089605372085381
-0.1,-0.2,-1.4411311951721275
0.0,-1.4,-0.5666234591948495
0.0,-1.3,-0.6261266570058519
0.0,-1.2,-0.6261266570058519
0.0,-1.1,-0.6261266570058519
0.0,-1.0,-0.6636448322947985
0.0,-0.9,-0.740248202837826
0.0,-0.8,-0.740248202837826
0.0,-0.7,-0.7120523124638668
0.0,-0.6,-0.7302248496064245
0.0,-0.5,-0.6184586369007925
0.0,-0.4,-0.6951251151772212
0.0,-0.3,-0.9804637890763932
0.0,-0.2,-1.3008265075174401
0.0,-0.1,-2.181156671226516
0.1,-1.4,-0.5686294113211777
0.1,-1.3,-0.6284991397300905
0.1,-1.2,-0.6284991397300905
0.1,-1.1,-0.6284991397300905
0.1,-1.0,-0.6295512068215123
0.1,-0.9,-0.5050996462833625
0.1,-0.8,-0.5050996462833625
0.1,-0.7,-0.37890817130779686
0.1,-0.6,-0.4684929193971588
0.1,-0.5,-0.4214283382851841
0.1,-0.4,-0.27985898271291365
0.1,-0.3,-0.44645755817416016
0.1,-0.2,-0.5622533382571792
0.1,-0.1,-0.7466630339825197
0.1,0.0,-0.8313397344570933
0.2,-1.4,-0.49496592626894004
0.2,-1.3,-0.4808176908559724
0.2,-1.2,-0.4808176908559724
0.2,-1.1,-0.4808176908559724
0.2,-1.0,-0.4879104022931065
0.2,-0.9,-0.40865442680036707
0.2,-0.8,-0.40865442680036707
0.2,-0.7,-0.3142011241077914
0.2,-0.6,-0.5408771953031178
0.2,-0.5,-0.5079662392467635
0.2,-0.4,-0.33254068025955
0.2,-0.3,-0.26645274179842865
0.2,-0.2,-0.6848921023024686
0.2,-0.1,-0.8683175032782336
0.2,0.0,-1.1054109773210457
