upper_threshold,lower_threshold,sharpe_ratio
-3100000000,-3200000000,-0.7164770096302222
-3000000000,-3200000000,-0.7164770096302222
-3000000000,-3100000000,-0.7164770096302222
-2900000000,-3200000000,-0.7164770096302222
-2900000000,-3100000000,-0.7164770096302222
-2900000000,-3000000000,-0.7164770096302222
-2800000000,-3200000000,-0.7164770096302222
-2800000000,-3100000000,-0.7164770096302222
-2800000000,-3000000000,-0.7164770096302222
-2800000000,-2900000000,-0.7164770096302222
-2700000000,-3200000000,-0.691921972643092
-2700000000,-3100000000,-0.691921972643092
-2700000000,-3000000000,-0.691921972643092
-2700000000,-2900000000,-0.691921972643092
-2700000000,-2800000000,-0.691921972643092
-2600000000,-3200000000,-0.691921972643092
-2600000000,-3100000000,-0.691921972643092
-2600000000,-3000000000,-0.691921972643092
-2600000000,-2900000000,-0.691921972643092
-2600000000,-2800000000,-0.691921972643092
-2600000000,-2700000000,-0.7337529138624505
-2500000000,-3200000000,-0.691921972643092
-2500000000,-3100000000,-0.691921972643092
-2500000000,-3000000000,-0.691921972643092
-2500000000,-2900000000,-0.691921972643092
-2500000000,-2800000000,-0.691921972643092
-2500000000,-2700000000,-0.7337529138624505
-2500000000,-2600000000,-0.7337529138624505
-2400000000,-3200000000,-0.691921972643092
-2400000000,-3100000000,-0.691921972643092
-2400000000,-3000000000,-0.691921972643092
-2400000000,-2900000000,-0.691921972643092
-2400000000,-2800000000,-0.691921972643092
-2400000000,-2700000000,-0.7337529138624505
-2400000000,-2600000000,-0.7337529138624505
-2400000000,-2500000000,-0.7337529138624505
-2300000000,-3200000000,-0.691921972643092
-2300000000,-3100000000,-0.691921972643092
-2300000000,-3000000000,-0.691921972643092
-2300000000,-2900000000,-0.691921972643092
-2300000000,-2800000000,-0.691921972643092
-2300000000,-2700000000,-0.7337529138624505
-2300000000,-2600000000,-0.7337529138624505
-2300000000,-2500000000,-0.7337529138624505
-2300000000,-2400000000,-0.7337529138624505
-2200000000,-3200000000,-0.691921972643092
-2200000000,-3100000000,-0.691921972643092
-2200000000,-3000000000,-0.691921972643092
-2200000000,-2900000000,-0.691921972643092
-2200000000,-2800000000,-0.691921972643092
-2200000000,-2700000000,-0.7337529138624505
-2200000000,-2600000000,-0.7337529138624505
-2200000000,-2500000000,-0.7337529138624505
-2200000000,-2400000000,-0.7337529138624505
-2200000000,-2300000000,-0.7337529138624505
-2100000000,-3200000000,-0.691921972643092
-2100000000,-3100000000,-0.691921972643092
-2100000000,-3000000000,-0.691921972643092
-2100000000,-2900000000,-0.691921972643092
-2100000000,-2800000000,-0.691921972643092
-2100000000,-2700000000,-0.7337529138624505
-2100000000,-2600000000,-0.7337529138624505
-2100000000,-2500000000,-0.7337529138624505
-2100000000,-2400000000,-0.7337529138624505
-2100000000,-2300000000,-0.7337529138624505
-2100000000,-2200000000,-0.7337529138624505
-2000000000,-3200000000,-0.691921972643092
-2000000000,-3100000000,-0.691921972643092
-2000000000,-3000000000,-0.691921972643092
-2000000000,-2900000000,-0.691921972643092
-2000000000,-2800000000,-0.691921972643092
-2000000000,-2700000000,-0.7337529138624505
-2000000000,-2600000000,-0.7337529138624505
-2000000000,-2500000000,-0.7337529138624505
-2000000000,-2400000000,-0.7337529138624505
-2000000000,-2300000000,-0.7337529138624505
-2000000000,-2200000000,-0.7337529138624505
-2000000000,-2100000000,-0.7337529138624505
-1900000000,-3200000000,-0.691921972643092
-1900000000,-3100000000,-0.691921972643092
-1900000000,-3000000000,-0.691921972643092
-1900000000,-2900000000,-0.691921972643092
-1900000000,-2800000000,-0.691921972643092
-1900000000,-2700000000,-0.7337529138624505
-1900000000,-2600000000,-0.7337529138624505
-1900000000,-2500000000,-0.7337529138624505
-1900000000,-2400000000,-0.7337529138624505
-1900000000,-2300000000,-0.7337529138624505
-1900000000,-2200000000,-0.7337529138624505
-1900000000,-2100000000,-0.7337529138624505
-1900000000,-2000000000,-0.7337529138624505
-1800000000,-3200000000,-0.691921972643092
-1800000000,-3100000000,-0.691921972643092
-1800000000,-3000000000,-0.691921972643092
-1800000000,-2900000000,-0.691921972643092
-1800000000,-2800000000,-0.691921972643092
-1800000000,-2700000000,-0.7337529138624505
-1800000000,-2600000000,-0.7337529138624505
-1800000000,-2500000000,-0.7337529138624505
-1800000000,-2400000000,-0.7337529138624505
-1800000000,-2300000000,-0.7337529138624505
-1800000000,-2200000000,-0.7337529138624505
-1800000000,-2100000000,-0.7337529138624505
-1800000000,-2000000000,-0.7337529138624505
-1800000000,-1900000000,-0.7337529138624505
-1700000000,-3200000000,-0.691921972643092
-1700000000,-3100000000,-0.691921972643092
-1700000000,-3000000000,-0.691921972643092
-1700000000,-2900000000,-0.691921972643092
-1700000000,-2800000000,-0.691921972643092
-1700000000,-2700000000,-0.7337529138624505
-1700000000,-2600000000,-0.7337529138624505
-1700000000,-2500000000,-0.7337529138624505
-1700000000,-2400000000,-0.7337529138624505
-1700000000,-2300000000,-0.7337529138624505
-1700000000,-2200000000,-0.7337529138624505
-1700000000,-2100000000,-0.7337529138624505
-1700000000,-2000000000,-0.7337529138624505
-1700000000,-1900000000,-0.7337529138624505
-1700000000,-1800000000,-0.7337529138624505
-1600000000,-3200000000,-0.8643701036454144
-1600000000,-3100000000,-0.8643701036454144
-1600000000,-3000000000,-0.8643701036454144
-1600000000,-2900000000,-0.8643701036454144
-1600000000,-2800000000,-0.8643701036454144
-1600000000,-2700000000,-0.8961732726413825
-1600000000,-2600000000,-0.8961732726413825
-1600000000,-2500000000,-0.8961732726413825
-1600000000,-2400000000,-0.8961732726413825
-1600000000,-2300000000,-0.8961732726413825
-1600000000,-2200000000,-0.8961732726413825
-1600000000,-2100000000,-0.8961732726413825
-1600000000,-2000000000,-0.8961732726413825
-1600000000,-1900000000,-0.8961732726413825
-1600000000,-1800000000,-0.8961732726413825
-1600000000,-1700000000,-0.8961732726413825
-1500000000,-3200000000,-0.9262511745550741
-1500000000,-3100000000,-0.9262511745550741
-1500000000,-3000000000,-0.9262511745550741
-1500000000,-2900000000,-0.9262511745550741
-1500000000,-2800000000,-0.9262511745550741
-1500000000,-2700000000,-0.9582208823539266
-1500000000,-2600000000,-0.9582208823539266
-1500000000,-2500000000,-0.9582208823539266
-1500000000,-2400000000,-0.9582208823539266
-1500000000,-2300000000,-0.9582208823539266
-1500000000,-2200000000,-0.9582208823539266
-1500000000,-2100000000,-0.9582208823539266
-1500000000,-2000000000,-0.9582208823539266
-1500000000,-1900000000,-0.9582208823539266
-1500000000,-1800000000,-0.9582208823539266
-1500000000,-1700000000,-0.9582208823539266
-1500000000,-1600000000,-0.9353079459238406
-1400000000,-3200000000,-0.9262511745550741
-1400000000,-3100000000,-0.9262511745550741
-1400000000,-3000000000,-0.9262511745550741
-1400000000,-2900000000,-0.9262511745550741
-1400000000,-2800000000,-0.9262511745550741
-1400000000,-2700000000,-0.9582208823539266
-1400000000,-2600000000,-0.9582208823539266
-1400000000,-2500000000,-0.9582208823539266
-1400000000,-2400000000,-0.9582208823539266
-1400000000,-2300000000,-0.9582208823539266
-1400000000,-2200000000,-0.9582208823539266
-1400000000,-2100000000,-0.9582208823539266
-1400000000,-2000000000,-0.9582208823539266
-1400000000,-1900000000,-0.9582208823539266
-1400000000,-1800000000,-0.9582208823539266
-1400000000,-1700000000,-0.9582208823539266
-1400000000,-1600000000,-0.9353079459238406
-1400000000,-1500000000,-0.9769470485628627
-1300000000,-3200000000,-0.9262511745550741
-1300000000,-3100000000,-0.9262511745550741
-1300000000,-3000000000,-0.9262511745550741
-1300000000,-2900000000,-0.9262511745550741
-1300000000,-2800000000,-0.9262511745550741
-1300000000,-2700000000,-0.9582208823539266
-1300000000,-2600000000,-0.9582208823539266
-1300000000,-2500000000,-0.9582208823539266
-1300000000,-2400000000,-0.9582208823539266
-1300000000,-2300000000,-0.9582208823539266
-1300000000,-2200000000,-0.9582208823539266
-1300000000,-2100000000,-0.9582208823539266
-1300000000,-2000000000,-0.9582208823539266
-1300000000,-1900000000,-0.9582208823539266
-1300000000,-1800000000,-0.9582208823539266
-1300000000,-1700000000,-0.9582208823539266
-1300000000,-1600000000,-0.9353079459238406
-1300000000,-1500000000,-0.9769470485628627
-1300000000,-1400000000,-0.9769470485628627
-1200000000,-3200000000,-1.0979353491432133
-1200000000,-3100000000,-1.0979353491432133
-1200000000,-3000000000,-1.0979353491432133
-1200000000,-2900000000,-1.0979353491432133
-1200000000,-2800000000,-1.0979353491432133
-1200000000,-2700000000,-1.131680592761613
-1200000000,-2600000000,-1.131680592761613
-1200000000,-2500000000,-1.131680592761613
-1200000000,-2400000000,-1.131680592761613
-1200000000,-2300000000,-1.131680592761613
-1200000000,-2200000000,-1.131680592761613
-1200000000,-2100000000,-1.131680592761613
-1200000000,-2000000000,-1.131680592761613
-1200000000,-1900000000,-1.131680592761613
-1200000000,-1800000000,-1.131680592761613
-1200000000,-1700000000,-1.131680592761613
-1200000000,-1600000000,-1.1068469068959168
-1200000000,-1500000000,-1.1505033608602162
-1200000000,-1400000000,-1.1505033608602162
-1200000000,-1300000000,-1.1505033608602162
-1100000000,-3200000000,-1.1005924435441186
-1100000000,-3100000000,-1.1005924435441186
-1100000000,-3000000000,-1.1005924435441186
-1100000000,-2900000000,-1.1005924435441186
-1100000000,-2800000000,-1.1005924435441186
-1100000000,-2700000000,-1.1336182536683692
-1100000000,-2600000000,-1.1336182536683692
-1100000000,-2500000000,-1.1336182536683692
-1100000000,-2400000000,-1.1336182536683692
-1100000000,-2300000000,-1.1336182536683692
-1100000000,-2200000000,-1.1336182536683692
-1100000000,-2100000000,-1.1336182536683692
-1100000000,-2000000000,-1.1336182536683692
-1100000000,-1900000000,-1.1336182536683692
-1100000000,-1800000000,-1.1336182536683692
-1100000000,-1700000000,-1.1336182536683692
-1100000000,-1600000000,-1.1093767478188346
-1100000000,-1500000000,-1.152138821942898
-1100000000,-1400000000,-1.152138821942898
-1100000000,-1300000000,-1.152138821942898
-1100000000,-1200000000,-1.1896244410671963
-1000000000,-3200000000,-0.8857234455792845
-1000000000,-3100000000,-0.8857234455792845
-1000000000,-3000000000,-0.8857234455792845
-1000000000,-2900000000,-0.8857234455792845
-1000000000,-2800000000,-0.8857234455792845
-1000000000,-2700000000,-0.9153648012490726
-1000000000,-2600000000,-0.9153648012490726
-1000000000,-2500000000,-0.9153648012490726
-1000000000,-2400000000,-0.9153648012490726
-1000000000,-2300000000,-0.9153648012490726
-1000000000,-2200000000,-0.9153648012490726
-1000000000,-2100000000,-0.9153648012490726
-1000000000,-2000000000,-0.9153648012490726
-1000000000,-1900000000,-0.9153648012490726
-1000000000,-1800000000,-0.9153648012490726
-1000000000,-1700000000,-0.9153648012490726
-1000000000,-1600000000,-0.8943674997249602
-1000000000,-1500000000,-0.9331044162731813
-1000000000,-1400000000,-0.9331044162731813
-1000000000,-1300000000,-0.9331044162731813
-1000000000,-1200000000,-0.9669578246185299
-1000000000,-1100000000,-0.9932027674960443
-900000000,-3200000000,-1.0606278237518831
-900000000,-3100000000,-1.0606278237518831
-900000000,-3000000000,-1.0606278237518831
-900000000,-2900000000,-1.0606278237518831
-900000000,-2800000000,-1.0606278237518831
-900000000,-2700000000,-1.0904264311962244
-900000000,-2600000000,-1.0904264311962244
-900000000,-2500000000,-1.0904264311962244
-900000000,-2400000000,-1.0904264311962244
-900000000,-2300000000,-1.0904264311962244
-900000000,-2200000000,-1.0904264311962244
-900000000,-2100000000,-1.0904264311962244
-900000000,-2000000000,-1.0904264311962244
-900000000,-1900000000,-1.0904264311962244
-900000000,-1800000000,-1.0904264311962244
-900000000,-1700000000,-1.0904264311962244
-900000000,-1600000000,-1.0689235167298574
-900000000,-1500000000,-1.1077000069622365
-900000000,-1400000000,-1.1077000069622365
-900000000,-1300000000,-1.1077000069622365
-900000000,-1200000000,-1.1416608550457692
-900000000,-1100000000,-1.1682129117384525
-900000000,-1000000000,-1.147597236301089
-800000000,-3200000000,-1.1994510459220156
-800000000,-3100000000,-1.1994510459220156
-800000000,-3000000000,-1.1994510459220156
-800000000,-2900000000,-1.1994510459220156
-800000000,-2800000000,-1.1994510459220156
-800000000,-2700000000,-1.2309674525649514
-800000000,-2600000000,-1.2309674525649514
-800000000,-2500000000,-1.2309674525649514
-800000000,-2400000000,-1.2309674525649514
-800000000,-2300000000,-1.2309674525649514
-800000000,-2200000000,-1.2309674525649514
-800000000,-2100000000,-1.2309674525649514
-800000000,-2000000000,-1.2309674525649514
-800000000,-1900000000,-1.2309674525649514
-800000000,-1800000000,-1.2309674525649514
-800000000,-1700000000,-1.2309674525649514
-800000000,-1600000000,-1.2077154558652545
-800000000,-1500000000,-1.2484937883964304
-800000000,-1400000000,-1.2484937883964304
-800000000,-1300000000,-1.2484937883964304
-800000000,-1200000000,-1.2842829066069272
-800000000,-1100000000,-1.3125538818085454
-800000000,-1000000000,-1.290836191787769
-800000000,-900000000,-1.4079995234263234
-700000000,-3200000000,0.15564516358037103
-700000000,-3100000000,0.15564516358037103
-700000000,-3000000000,0.15564516358037103
-700000000,-2900000000,0.15564516358037103
-700000000,-2800000000,0.15564516358037103
-700000000,-2700000000,0.14181339892635605
-700000000,-2600000000,0.14181339892635605
-700000000,-2500000000,0.14181339892635605
-700000000,-2400000000,0.14181339892635605
-700000000,-2300000000,0.14181339892635605
-700000000,-2200000000,0.14181339892635605
-700000000,-2100000000,0.14181339892635605
-700000000,-2000000000,0.14181339892635605
-700000000,-1900000000,0.14181339892635605
-700000000,-1800000000,0.14181339892635605
-700000000,-1700000000,0.14181339892635605
-700000000,-1600000000,0.15075487877955543
-700000000,-1500000000,0.13226023826458666
-700000000,-1400000000,0.13226023826458666
-700000000,-1300000000,0.13226023826458666
-700000000,-1200000000,0.11620246984033496
-700000000,-1100000000,0.10424661653194152
-700000000,-1000000000,0.1140149196778594
-700000000,-900000000,0.060041800103253315
-700000000,-800000000,0.051329309380869534
-600000000,-3200000000,0.13207611841900274
-600000000,-3100000000,0.13207611841900274
